Date,MSCI World Net Return
1999-01-29,102.118
1999-02-26,99.365
1999-03-31,103.573
1999-04-30,107.635
1999-05-31,103.764
1999-06-30,108.625
1999-07-30,108.248
1999-08-31,108.067
1999-09-30,107.007
1999-10-29,112.499
1999-11-30,115.636
1999-12-31,124.953
2000-01-31,117.727
2000-02-29,118.025
2000-03-31,126.234
2000-04-28,120.895
2000-05-31,117.9
2000-06-30,121.858
2000-07-31,118.38
2000-08-31,122.249
2000-09-29,115.72
2000-10-31,113.725
2000-11-30,106.797
2000-12-29,108.478
2001-01-31,110.567
2001-02-28,101.211
2001-03-30,94.546
2001-04-30,101.515
2001-05-31,100.193
2001-06-29,97.039
2001-07-31,95.742
2001-08-31,91.133
2001-09-28,83.09
2001-10-31,84.677
2001-11-30,89.673
2001-12-31,90.228
2002-01-31,87.485
2002-02-28,86.716
2002-03-29,90.536
2002-04-30,87.458
2002-05-31,87.604
2002-06-28,82.274
2002-07-31,75.332
2002-08-30,75.46
2002-09-30,67.152
2002-10-31,72.1
2002-11-29,75.977
2002-12-31,72.285
2003-01-31,70.082
2003-02-28,68.856
2003-03-31,68.629
2003-04-30,74.71
2003-05-30,78.964
2003-06-30,80.321
2003-07-31,81.942
2003-08-29,83.703
2003-09-30,84.206
2003-10-31,89.195
2003-11-28,90.543
2003-12-31,96.216
2004-01-30,97.76
2004-02-27,99.397
2004-03-31,98.738
2004-04-30,96.715
2004-05-31,97.597
2004-06-30,99.6
2004-07-30,96.348
2004-08-31,96.772
2004-09-30,98.602
2004-10-29,101.015
2004-11-30,106.322
2004-12-31,110.38
2005-01-31,107.895
2005-02-28,111.313
2005-03-31,109.152
2005-04-29,106.774
2005-05-31,108.671
2005-06-30,109.611
2005-07-29,113.44
2005-08-31,114.295
2005-09-30,117.264
2005-10-31,114.419
2005-11-30,118.231
2005-12-30,120.851
2006-01-31,126.247
2006-02-28,126.059
2006-03-31,128.831
2006-04-28,132.742
2006-05-31,128.208
2006-06-30,128.17
2006-07-31,128.97
2006-08-31,132.318
2006-09-29,133.896
2006-10-31,138.81
2006-11-30,142.209
2006-12-29,145.1
2007-01-31,146.813
2007-02-28,146.049
2007-03-30,148.723
2007-04-30,155.283
2007-05-31,159.633
2007-06-29,158.401
2007-07-31,154.893
2007-08-31,154.776
2007-09-28,162.136
2007-10-31,167.109
2007-11-30,160.279
2007-12-31,158.211
2008-01-31,146.12
2008-02-29,145.275
2008-03-31,143.882
2008-04-30,151.444
2008-05-30,153.754
2008-06-30,141.491
2008-07-31,138.034
2008-08-29,136.094
2008-09-30,119.908
2008-10-31,97.173
2008-11-28,90.883
2008-12-31,93.799
2009-01-30,85.582
2009-02-27,76.822
2009-03-31,82.615
2009-04-30,91.882
2009-05-29,100.207
2009-06-30,99.755
2009-07-31,108.204
2009-08-31,112.668
2009-09-30,117.159
2009-10-30,115.075
2009-11-30,119.777
2009-12-31,121.928
2010-01-29,116.888
2010-02-26,118.536
2010-03-31,125.877
2010-04-30,125.895
2010-05-31,113.836
2010-06-30,109.933
2010-07-30,118.845
2010-08-31,114.408
2010-09-30,125.076
2010-10-29,129.738
2010-11-30,126.937
2010-12-31,136.271
2011-01-31,139.349
2011-02-28,144.228
2011-03-31,142.806
2011-04-29,148.873
2011-05-31,145.784
2011-06-30,143.478
2011-07-29,140.876
2011-08-31,130.951
2011-09-30,119.64
2011-10-31,132.016
2011-11-30,128.792
2011-12-30,128.721
2012-01-31,135.18
2012-02-29,141.784
2012-03-30,143.607
2012-04-30,141.976
2012-05-31,129.72
2012-06-29,136.33
2012-07-31,138.082
2012-08-31,141.583
2012-09-28,145.473
2012-10-31,144.49
2012-11-30,146.34
2012-12-31,149.092
2013-01-31,156.687
2013-02-28,156.945
2013-03-29,160.622
2013-04-30,165.68
2013-05-31,165.742
2013-06-28,161.658
2013-07-31,170.169
2013-08-30,166.547
2013-09-30,174.876
2013-10-31,181.722
2013-11-29,184.951
2013-12-31,188.865
2014-01-31,181.869
2014-02-28,190.974
2014-03-31,191.25
2014-04-30,193.21
2014-05-30,197.011
2014-06-30,200.536
2014-07-31,197.335
2014-08-29,201.684
2014-09-30,196.21
2014-10-31,197.479
2014-11-28,201.437
2014-12-31,198.189
2015-01-30,194.597
2015-02-27,205.999
2015-03-31,202.774
2015-04-30,207.53
2015-05-29,208.245
2015-06-30,203.402
2015-07-31,207.053
2015-08-31,193.352
2015-09-30,186.22
2015-10-30,200.977
2015-11-30,199.977
2015-12-31,196.462
2016-01-29,184.709
2016-02-29,183.334
2016-03-31,195.775
2016-04-29,198.873
2016-05-31,199.99
2016-06-30,197.749
2016-07-29,206.103
2016-08-31,206.275
2016-09-30,207.37
2016-10-31,203.357
2016-11-30,206.281
2016-12-30,211.217
2017-01-31,216.315
2017-02-28,222.316
2017-03-31,224.684
2017-04-28,228.011
2017-05-31,232.835
2017-06-30,233.73
2017-07-31,239.324
2017-08-31,239.661
2017-09-29,245.04
2017-10-31,249.671
2017-11-30,255.081
2017-12-29,258.53
2018-01-31,272.181
2018-02-28,260.905
2018-03-30,255.218
2018-04-30,258.151
2018-05-31,259.769
2018-06-29,259.645
2018-07-31,267.755
2018-08-31,271.067
2018-09-28,272.577
2018-10-31,252.562
2018-11-30,255.431
2018-12-31,236.009
2019-01-31,254.371
2019-02-28,262.02
2019-03-29,265.462
2019-04-30,274.875
2019-05-31,259.014
2019-06-28,276.082
2019-07-31,277.45
2019-08-30,271.775
2019-09-30,277.558
2019-10-31,284.621
2019-11-29,292.548
2019-12-31,301.312
2020-01-31,299.478
2020-02-28,274.165
2020-03-31,237.881
2020-04-30,263.868
2020-05-29,276.615
2020-06-30,283.932
2020-07-31,297.516
2020-08-31,317.394
2020-09-30,306.444
2020-10-30,297.044
2020-11-30,335.025
2020-12-31,349.229
2021-01-29,345.758
2021-02-26,354.617
2021-03-31,366.416
2021-04-30,383.469
2021-05-31,388.993
2021-06-30,394.791
2021-07-30,401.863
2021-08-31,411.865
2021-09-30,394.764
2021-10-29,417.124
2021-11-30,407.983
2021-12-31,425.421
2022-01-31,402.911
2022-02-28,392.721
2022-03-31,403.499
2022-04-29,369.979
2022-05-31,370.259
2022-06-30,338.186
2022-07-29,365.037
2022-08-31,349.776
2022-09-30,317.261
2022-10-31,340.044
2022-11-30,363.687
2022-12-30,348.243
2023-01-31,372.883
2023-02-28,363.919
2023-03-31,375.164
2023-04-28,381.741
2023-05-31,377.93
2023-06-30,400.786
2023-07-31,414.249
2023-08-31,404.355
2023-09-29,386.912
2023-10-31,375.685
2023-11-30,410.906
2023-12-29,431.079
2024-01-31,436.253
2024-02-29,454.749
2024-03-29,469.362
2024-04-30,451.928
2024-05-31,472.107
2024-06-28,481.714
2024-07-31,490.202
2024-08-30,503.159
